district, name, x, y
1, Innere Stadt, -24.0, -44.0
2, Leopoldstadt, 80.0, -47.0
3, Landstraße, 28.0, -85.0
4, Wieden, -19.0, -96.0
5, Margareten, -57.0, -117.0
6, Mariahilf, -69.0, -86.0
7, Neubau, -69.0, -59.0
8, Josefstadt, -73.0, -30.0
9, Alsergrund, -54.0, 2.0
10, Favoriten, 20.0, -218.0
11, Simmering, 139.0, -175.0
12, Meidling, -122.0, -169.0
13, Hietzing, -309.0, -130.0
14, Penzing, -333.0, 6.0
15, Rudolfsheim-Fünfhaus, -118.0, -77.0
16, Ottakring, -178.0, -15.0
17, Hernals, -202.0, 34.0
18, Währing, -122.0, 45.0
19, Döbling, -101.0, 115.0
20, Brigittenau, 1.0, 56.0
21, Floridsdorf, 68.0, 181.0
22, Donaustadt, 236.0, 12.0
23, Liesing, -180.0, -246.0